"plant_species","Coereba.flaveola.","Columba.squamosa.","Dendroica.caerulescens.","Dendroica.tigrina.","Euphonia.musica.","Icterus.dominicensis.","Loxigilla.portoricensis.","Margarops.fuscatus.","Melanerpes.portoricensis.","Molothrus.bonariensis.","Myarchus.antillarum.","Nesospingus.sp1.M_SD_003","Nesospingus.sp1.M_SD_004","Nesospingus.speculiferus","Spindalis.portoricensis.","Tiaris.bicolor.","Todus.mexicanus.","Turdus.plumbeus.","Tyrannus.caudifasciatus.","Tyrannus.dominicensis.","Unidentified.sp1.M_SD_003","Vireo.altiloquous.","Vireo.flavirostris.","Vireo.latimeri.","Zenaida.asiatica","Zenaida.zenaida."
"Alchornea latifolia ",0,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,1,0,0,0,0,7,0,1,5,2
"Andira inermis ",0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,1,0,0,NA,0,0,NA,2,0,0,0,NA
"Anthurium scandens ",0,0,0,0,17,0,1,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0
"Ardisia obovata ",0,0,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,1,NA,NA,0,0,0,NA,0,NA,0,NA,NA
"Buchenavia capitata ",0,0,0,0,0,0,1,0,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,1,0,0,0,NA
"Bursera simaruba ",0,0,NA,NA,0,NA,1,0,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA
"Byrsonima coriacea ",0,3,NA,NA,0,0,1,0,NA,0,NA,0,NA,NA,1,0,0,0,NA,0,0,2,NA,NA,NA,0
"Casearia arborea ",0,1,0,0,0,0,2,0,0,0,0,0,1,NA,1,0,0,0,0,1,1,1,0,0,0,0
"Casearia sylvestris ",0,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,1,NA,NA
"Cecropia schreberiana ",14,3,1,3,2,0,21,3,4,0,0,1,6,2,58,1,1,6,0,1,0,10,0,0,0,0
"Chrysophyllum argenteum ",0,0,NA,NA,0,NA,0,1,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA
"Citrus sinensis ",0,0,0,0,0,0,0,0,0,NA,0,NA,1,0,1,0,0,0,0,0,NA,1,0,0,0,NA
"Clusia gundlachi ",0,1,NA,NA,0,NA,1,2,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA
"Clusia rosea ",1,0,0,0,0,1,3,3,3,2,2,0,1,NA,0,0,0,0,0,1,0,23,0,1,0,0
"Coffea arabica ",0,0,0,0,0,0,1,0,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,3,0,0,0,NA
"Comocladia glabra ",0,0,NA,NA,0,NA,1,0,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA
"Cordia sulcata ",0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,28,0,0,NA,0,0,NA,0,0,0,0,NA
"Cupania americana ",2,0,NA,NA,0,1,13,0,NA,1,0,0,NA,NA,0,0,0,5,0,8,0,3,NA,0,NA,0
"Dendropanax arboreus ",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
"Dendropemon bicolor ",0,0,0,0,1,0,1,0,0,0,0,NA,3,NA,0,0,0,0,0,0,NA,0,0,0,0,NA
"Ficus sp1 M_SD_003",0,0,NA,NA,2,0,0,0,NA,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,NA,NA,NA,0
"Ficus sp1 M_SD_004",0,0,0,0,0,0,0,1,0,NA,0,NA,4,NA,34,0,0,NA,0,0,NA,1,0,0,0,NA
"Ficus sp1 M_SD_005",0,0,NA,NA,0,NA,1,1,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA
"Ficus sp1 M_SD_006",0,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA,0,1,NA,NA,2,0,0,NA,0,0,0,NA,NA
"Guapira fragrans ",0,0,NA,NA,0,NA,0,1,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA
"Guarea guidonia ",0,0,0,0,0,0,77,13,1,0,2,0,5,0,0,0,0,4,6,3,0,26,2,0,0,0
"Henriettea fascicularis ",0,0,0,0,1,1,4,0,0,0,0,0,0,NA,1,0,0,1,0,0,0,0,0,0,0,0
"Hyeronima clusioides ",0,0,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,3,NA,NA,0,0,0,NA,0,NA,0,NA,NA
"Inga laurina ",0,0,0,0,0,1,0,0,0,0,0,0,0,NA,4,0,0,0,0,0,0,1,0,0,0,0
"Inga vera ",2,0,0,0,0,0,2,0,0,0,0,0,8,0,2,0,0,0,0,0,0,2,0,0,0,0
"Margravia rectiflora ",0,0,NA,NA,0,NA,0,1,NA,0,0,NA,NA,NA,0,NA,NA,1,0,0,NA,0,NA,0,NA,NA
"Miconia affinis ",0,0,0,0,0,0,4,0,0,0,0,0,10,NA,2,0,0,0,0,0,0,1,0,0,0,0
"Miconia laevigatta ",0,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA,0,1,NA,NA,0,0,0,NA,0,0,0,NA,NA
"Miconia prasina ",2,0,NA,NA,0,0,8,1,0,0,0,0,NA,1,15,0,0,0,0,0,0,1,0,0,NA,0
"Miconia racemosa ",0,0,0,0,0,0,1,0,0,NA,0,NA,2,NA,0,0,0,NA,0,0,NA,0,0,0,0,NA
"Miconia serrulata ",0,0,0,0,2,0,0,0,0,0,0,0,12,NA,7,0,0,0,0,0,0,0,0,0,0,0
"Momordica charantia ",0,0,0,0,1,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,1,NA,0,0,0,0,NA
"Murraya paniculata ",0,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA,1,0,NA,NA,0,0,0,NA,0,0,0,NA,NA
"Musa acuminata ",0,0,0,0,0,1,4,0,0,NA,0,NA,3,0,2,0,0,0,0,0,NA,0,0,0,0,NA
"Myrcia sp1 M_SD_003",0,0,NA,NA,0,0,2,1,NA,0,NA,0,NA,NA,5,0,0,0,NA,0,0,0,NA,NA,NA,0
"Myrcine coriacea ",0,0,0,0,0,0,1,0,0,0,0,0,2,NA,1,0,0,0,0,0,0,2,0,0,0,0
"Ocotea coriacea ",0,3,NA,NA,0,NA,0,6,NA,0,0,NA,NA,NA,0,NA,NA,4,0,2,NA,0,NA,0,NA,NA
"Ocotea floribunda ",0,1,NA,NA,0,0,0,NA,0,NA,0,NA,NA,0,0,NA,NA,3,0,1,NA,0,0,0,NA,NA
"Ocotea leucoxylon ",0,5,NA,NA,0,0,0,0,NA,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,NA,NA,NA,0
"Palicourea crocea ",0,0,0,0,0,0,1,0,0,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,NA
"Palicourea guianensis ",0,0,0,0,0,0,2,0,0,NA,0,NA,1,NA,0,0,0,NA,0,0,NA,0,0,0,0,NA
"Persea americana ",0,0,NA,NA,0,NA,0,1,NA,0,0,NA,NA,NA,1,NA,NA,0,0,0,NA,0,NA,0,NA,NA
"Petitia dominguensis ",0,1,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA
"Philodendron angustatum ",0,0,0,0,0,0,0,0,0,NA,0,NA,1,NA,0,0,0,NA,0,0,NA,0,0,0,0,NA
"Phoradendron sp1 M_SD_003",0,0,NA,NA,3,0,1,0,NA,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,NA,NA,NA,0
"Phoradendron sp1 M_SD_004",1,0,0,0,55,0,9,0,0,NA,0,NA,3,NA,10,0,0,NA,0,0,NA,1,1,0,0,NA
"Phoradendron sp1 M_SD_005",0,0,NA,NA,2,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA
"Phytolacca rivinoides ",0,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA,0,1,NA,NA,1,0,0,NA,0,0,0,NA,NA
"Piper amalaga ",0,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA,0,1,NA,NA,0,0,0,NA,0,0,0,NA,NA
"Piper sp1 M_SD_004",0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,1,0,NA,0,0,NA,0,0,0,0,NA
"Psychotria berteroana ",0,0,NA,NA,0,0,1,0,NA,0,NA,0,NA,NA,3,0,0,0,NA,0,0,0,NA,NA,NA,0
"Roystonea borinquena ",0,11,NA,NA,0,0,0,0,0,0,0,NA,NA,0,1,NA,NA,2,0,0,NA,0,0,0,NA,NA
"Schefflera morototoni ",2,8,0,1,1,0,1,1,0,0,0,0,4,0,77,0,0,14,1,8,0,4,0,0,0,0
"Solanum rugosum ",0,0,0,0,0,0,0,1,0,NA,0,NA,0,0,1,0,0,0,0,0,NA,0,0,0,0,NA
"Syzigium jambos ",0,0,0,0,0,0,3,0,0,NA,0,NA,1,NA,0,0,0,NA,0,0,NA,0,0,0,0,NA
"Syzigium malaccensis ",0,0,NA,NA,0,NA,0,1,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA
"Tilandsia sp1 M_SD_004",0,0,0,0,0,0,0,0,0,NA,0,NA,3,NA,0,0,0,NA,0,0,NA,0,0,0,0,NA
"Tournefortia hisutissima ",0,0,NA,NA,0,0,0,0,0,0,0,0,NA,0,2,0,0,1,0,0,0,0,0,0,NA,0
"Unidentified sp1 M_SD_004",0,0,0,0,0,0,0,0,0,NA,0,NA,1,NA,0,0,0,NA,0,0,NA,0,0,0,0,NA
"Unidentified sp1 M_SD_005",0,0,NA,NA,0,NA,1,0,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0,NA,0,NA,NA
"Unidentified sp2 M_SD_003",0,0,NA,NA,0,0,0,0,NA,0,NA,0,NA,NA,0,0,0,0,NA,0,0,1,NA,NA,NA,0
"Unidentified sp2 M_SD_005",0,0,NA,NA,0,NA,0,0,NA,0,0,NA,NA,NA,0,NA,NA,1,0,0,NA,0,NA,0,NA,NA
"Unidentified sp3 M_SD_003",0,0,NA,NA,0,0,0,0,NA,0,NA,0,NA,NA,1,0,0,0,NA,0,0,0,NA,NA,NA,0
"Zanthoxylum martinicensis",0,0,0,0,0,0,1,1,0,0,0,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,NA
