"Plant","Coereba.flaveola.","Columba.squamosa.","Euphonia.musica.","Icterus.dominicensis.","Loxigilla.portoricensis.","Margarops.fuscatus.","Molothrus.bonariensis.","Nesospingus.sp1.M_SD_003","Spindalis.portoricensis.","Tiaris.bicolor.","Todus.mexicanus.","Turdus.plumbeus.","Tyrannus.dominicensis.","Unidentified.sp1.M_SD_003","Vireo.altiloquous.","Zenaida.zenaida.","Dendroica.caerulescens.","Dendroica.tigrina.","Melanerpes.portoricensis.","Myarchus.antillarum.","Nesospingus.sp1.M_SD_004","Tyrannus.caudifasciatus.","Vireo.flavirostris.","Vireo.latimeri.","Zenaida.asiatica","Nesospingus.speculiferus"
"Alchornea latifolia ",NA,NA,NA,NA,22,NA,NA,NA,3,NA,1,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,1,5,NA
"Anthurium scandens ",NA,NA,17,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Byrsonima coriacea ",NA,3,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Casearia arborea ",NA,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Cecropia schreberiana ",14,3,2,NA,21,3,NA,1,58,1,1,6,1,NA,10,NA,1,3,4,NA,6,NA,NA,NA,NA,2
"Clusia rosea ",1,NA,NA,1,3,3,2,NA,NA,NA,NA,NA,1,NA,23,NA,NA,NA,3,2,1,NA,NA,1,NA,NA
"Cupania americana ",2,NA,NA,1,13,NA,1,NA,NA,NA,NA,5,8,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dendropanax arboreus ",NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ficus sp1 M_SD_003",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guarea guidonia ",NA,NA,NA,NA,77,13,NA,NA,NA,NA,NA,4,3,NA,26,NA,NA,NA,1,2,5,6,2,NA,NA,NA
"Henriettea fascicularis ",NA,NA,1,1,4,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inga laurina ",NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inga vera ",2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
