"plant_species","Coereba.flaveola.","Columba.squamosa.","Dendroica.caerulescens.","Dendroica.tigrina.","Euphonia.musica.","Icterus.dominicensis.","Loxigilla.portoricensis.","Margarops.fuscatus.","Melanerpes.portoricensis.","Molothrus.bonariensis.","Myarchus.antillarum.","Nesospingus.sp1.M_SD_003","Nesospingus.sp1.M_SD_004","Nesospingus.speculiferus","Spindalis.portoricensis.","Tiaris.bicolor.","Todus.mexicanus.","Turdus.plumbeus.","Tyrannus.caudifasciatus.","Tyrannus.dominicensis.","Unidentified.sp1.M_SD_003","Vireo.altiloquous.","Vireo.flavirostris.","Vireo.latimeri.","Zenaida.asiatica","Zenaida.zenaida."
"Alchornea latifolia ",0,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,1,0,0,0,0,7,0,1,5,2
"Andira inermis ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
"Anthurium scandens ",0,0,0,0,17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ardisia obovata ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Buchenavia capitata ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bursera simaruba ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Byrsonima coriacea ",0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
"Casearia arborea ",0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0
"Casearia sylvestris ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cecropia schreberiana ",14,3,1,3,2,0,21,3,4,0,0,1,6,2,58,1,1,6,0,1,0,10,0,0,0,0
"Chrysophyllum argenteum ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citrus sinensis ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"Clusia gundlachi ",0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clusia rosea ",1,0,0,0,0,1,3,3,3,2,2,0,1,0,0,0,0,0,0,1,0,23,0,1,0,0
"Coffea arabica ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Comocladia glabra ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cordia sulcata ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0
"Cupania americana ",2,0,0,0,0,1,13,0,0,1,0,0,0,0,0,0,0,5,0,8,0,3,0,0,0,0
"Dendropanax arboreus ",0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0
"Dendropemon bicolor ",0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus sp1 M_SD_003",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus sp1 M_SD_004",0,0,0,0,0,0,0,1,0,0,0,0,4,0,34,0,0,0,0,0,0,1,0,0,0,0
"Ficus sp1 M_SD_005",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ficus sp1 M_SD_006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"Guapira fragrans ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guarea guidonia ",0,0,0,0,0,0,77,13,1,0,2,0,5,0,0,0,0,4,6,3,0,26,2,0,0,0
"Henriettea fascicularis ",0,0,0,0,1,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Hyeronima clusioides ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Inga laurina ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0
"Inga vera ",2,0,0,0,0,0,2,0,0,0,0,0,8,0,2,0,0,0,0,0,0,2,0,0,0,0
"Margravia rectiflora ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Miconia affinis ",0,0,0,0,0,0,4,0,0,0,0,0,10,0,2,0,0,0,0,0,0,1,0,0,0,0
"Miconia laevigatta ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Miconia prasina ",2,0,0,0,0,0,8,1,0,0,0,0,0,1,15,0,0,0,0,0,0,1,0,0,0,0
"Miconia racemosa ",0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miconia serrulata ",0,0,0,0,2,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0
"Momordica charantia ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Murraya paniculata ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Musa acuminata ",0,0,0,0,0,1,4,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
"Myrcia sp1 M_SD_003",0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Myrcine coriacea ",0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0
"Ocotea coriacea ",0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0
"Ocotea floribunda ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
"Ocotea leucoxylon ",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea crocea ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Palicourea guianensis ",0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Persea americana ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Petitia dominguensis ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philodendron angustatum ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoradendron sp1 M_SD_003",0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoradendron sp1 M_SD_004",1,0,0,0,55,0,9,0,0,0,0,0,3,0,10,0,0,0,0,0,0,1,1,0,0,0
"Phoradendron sp1 M_SD_005",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phytolacca rivinoides ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Piper amalaga ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Piper sp1 M_SD_004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Psychotria berteroana ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Roystonea borinquena ",0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"Schefflera morototoni ",2,8,0,1,1,0,1,1,0,0,0,0,4,0,77,0,0,14,1,8,0,4,0,0,0,0
"Solanum rugosum ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Syzigium jambos ",0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syzigium malaccensis ",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tilandsia sp1 M_SD_004",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tournefortia hisutissima ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
"Unidentified sp1 M_SD_004",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp1 M_SD_005",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unidentified sp2 M_SD_003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Unidentified sp2 M_SD_005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Unidentified sp3 M_SD_003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Zanthoxylum martinicensis",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
