"Species","Strength","Degree","d","partner_dep","keystone_score"
"Coereba.flaveola.",0.41250809958192,7,0.231880208861038,0,-0.0852613697998722
"Columba.squamosa.",4.0767572949965,10,0.572272183332002,0,-0.202375730257438
"Dendroica.caerulescens.",0.0072992700729927,1,0.00293709268687362,0,0
"Dendroica.tigrina.",0.0300945315304535,2,0.145604118198373,0,-0.153328322237154
"Euphonia.musica.",5.27527019880082,11,0.769849876835807,0,-0.352548430497519
"Icterus.dominicensis.",0.446359940872136,5,0.411803557632249,0,-0.380216294443629
"Loxigilla.portoricensis.",13.118368939281,33,0.347938984935336,0,1.38377854457536
"Margarops.fuscatus.",6.78250472880817,17,0.365851641522768,0,0.457570650105903
"Melanerpes.portoricensis.",0.109562056603604,3,0.201473534072434,0,-0.189875330841009
"Molothrus.bonariensis.",0.0790835181079084,2,0.349362280470577,0,-0.41589969715553
"Myarchus.antillarum.",0.0631689770135112,2,0.237231094706358,0,-0.270700454624486
"Nesospingus.sp1.M_SD_003",0.0072992700729927,1,0.00293709268687362,0,0
"Nesospingus.sp1.M_SD_004",7.87577450482076,20,0.416368104263338,0,0.554963750689725
"Nesospingus.speculiferus",1.05031282586027,3,0.381010455109394,0,-0.364163340890118
"Spindalis.portoricensis.",15.7348593366002,33,0.473968881064739,0,1.38580788048724
"Tiaris.bicolor.",1.00729927007299,2,0.500735353071783,0,-0.55426105151659
"Todus.mexicanus.",0.0316895139754317,2,0.123893394804731,0,-0.124917662073763
"Turdus.plumbeus.",4.61622280111198,14,0.310039159679559,0,0.298858223961692
"Tyrannus.caudifasciatus.",0.0513621889373747,2,0.215416665388478,0,-0.243006689404164
"Tyrannus.dominicensis.",1.31960359403776,9,0.295779712644985,0,-0.0484062624964891
"Unidentified.sp1.M_SD_003",0.125,1,0.57858901073158,0,-0.743125640450218
"Vireo.altiloquous.",5.53319845451066,20,0.290688035451522,0,0.569894465689021
"Vireo.flavirostris.",0.0268884892086331,2,0.122372596964524,0,-0.123239911202836
"Vireo.latimeri.",1.04878048780488,3,0.493320848483442,0,-0.51070557633206
"Zenaida.asiatica",0.121951219512195,1,0.537635744192966,0,-0.689919328491889
"Zenaida.zenaida.",0.0487804878048781,1,0.386993003798997,0,-0.498144244511943
